NPRODUCTO,CONCURSO,F1,F2,F3,F4,F5,F6,F7,F8,BOLSA,FECHA
20,2183,1,4,3,2,3,5,3,5,300000,02/02/2021
20,2182,1,4,4,5,5,4,5,3,360000,30/01/2021
20,2181,2,4,2,2,5,1,3,3,308000,28/01/2021
20,2180,5,5,3,3,1,3,4,1,304000,26/01/2021
20,2179,3,4,5,3,4,3,5,2,303000,23/01/2021
20,2178,1,1,4,1,4,3,3,3,302000,21/01/2021
20,2177,4,4,3,4,3,4,2,1,301000,19/01/2021
20,2176,5,4,1,5,2,4,3,3,300000,16/01/2021
20,2175,5,1,4,3,3,2,5,3,302000,14/01/2021
20,2174,4,4,3,4,3,1,3,5,301000,12/01/2021
20,2173,5,2,1,1,3,4,3,5,300000,09/01/2021
20,2172,5,1,2,2,2,2,3,2,301000,07/01/2021
20,2171,3,3,1,1,2,1,5,3,300000,05/01/2021
20,2170,5,2,3,4,1,5,4,1,304000,02/01/2021
20,2169,5,4,5,3,4,1,2,3,303000,31/12/2020
20,2168,4,1,3,4,3,2,5,5,302000,29/12/2020
20,2167,2,3,5,4,5,4,5,4,301000,26/12/2020
20,2166,2,4,2,3,2,1,4,1,300000,24/12/2020
20,2165,4,1,2,5,3,2,2,3,300000,22/12/2020
20,2164,5,5,1,2,3,4,3,4,777000,19/12/2020
20,2163,5,1,4,5,1,1,2,3,690000,17/12/2020
20,2162,2,2,5,2,2,4,3,2,623000,15/12/2020
20,2161,1,1,1,5,3,4,2,1,557000,12/12/2020
20,2160,4,1,3,2,3,2,4,1,497000,10/12/2020
20,2159,1,2,2,3,3,1,1,3,445000,08/12/2020
20,2158,3,1,2,5,3,5,1,2,393000,05/12/2020
20,2157,4,3,4,1,3,2,3,1,339000,03/12/2020
